row_id,date_time,p_date,version,pid,p_num,p_main_desc,p_form_1_name,p_form_2_name,p_form_3_name,p_form_1_desc,p_form_2_desc,p_form_3_desc,p_type,p_status,p_comm_name,p_comments,p_map_a3
1,"2017-04-18 23:21:24",20170415,1,H001,12,"From the confluence of the River Ribble and the River Calder at Hacking Hall, by River Ribble to its confluence with the brook between Shuttleworth Farm and ‘Fishes and Peggy Hill’. SE  in a straight line (excluding Standen Hey Farm but including Barrow Gardens) to the junction of  Whalley Road with the A671 and the A59. SE by a straight line to the trigonometry pillar 315m  near Jeppe Knave Grave, SW to the road at Wiswell Moor Houses and by this road to the track to Lower Clerk Hill Farm, SE  along Sabden Brook  to Read Old Bridge crossing Old Roman Roadand to Read New Bridge crossing A671 to its confluence with the River Calder. From Cock Bridge  crossing A680 downstream to its confluence with Dean Brook NW by Heys Farm and Berrys Lane to Shawcliffe Lane. From the boundary stone on Shawcliffe Lane  to the lane from Whalley Old Rd and to the junction of Elker Lane and Whalley New road (Pasturelands Drive being in English Martyrs) to the bridge over the A59, thence by a bee-line N to the weir opposite the sewage works on the River Calder. By this to its confluence with the River Ribble.",,,,,,,LP,draft,,,a3/H001_20170415_A3.pdf
2,"2017-04-18 23:21:24",20170415,1,H002,3,"From the roundabout at Junction 6, along the slip road to and S along the M65 Motorway to Lower Spew Spout Farm then by the Hyndburn  - Blackburn with Darwen District Boundary S to and by Elton Rd A6177 W by Belthorn Road (but excluding Belthorn Village) to the bend at Tower View W by a straight line passing north of Bank Fold Farm  and N of New Waterside Paper Mill and by the stream to Davy Field Bridge at the M65, and by Roman Road to its junction Blackamoor Road north by Roman Road to Brandy House Brow and west by Park Lee Road Lyndhurst Road Pritchard St and Longshaw Lane to and along Bolton Road and north by the railway line to the Railway Station to Cicily Lane and Cicily Street to the Leeds and Liverpool Canal. By the canal to Hardwood Street to its junction with Stanley Street. Then by a straight beeline to and along the railway to Whitebirk Drive, S to the roundabout at Junction 6 of the M65 Motorway.",,,,,,,LP,draft,,,a3/H002_20170415_A3.pdf
3,"2017-04-18 23:21:24",20170415,1,H003,2,"By Lammack Road north crossing Ramsgreave Drive A6119, and Barker Lane to the junction with Zechariah Brow and Higher Ramsgreave Road, N by Saccary La. and Anderton House, NW by Showley Brook and footpath S of Clayton Hey Farm, SE by Ribchester Rd., crossing Whalley Road A666 by Hollowhead Lane, Rishton Road, Blackburn Old Road to the Hyndburn – Blackburn with Darwen Boundary, and E by a footpath running parallel to and between Whalley Old Road and Cunliffe Road, N by Brownhill Drive, W by Clarendon Road, Whalley New Road, then W by a line behind 96 Openshaw Drive and by the Openshaw Drive, Pleck Farm Avenue, and across the playing fields of the new estate to Lammack Road.",,,,,,,LP,draft,,,a3/H003_20170415_A3.pdf
4,"2017-04-18 23:21:24",20170415,1,H004,10,"WITHIN THE DIOCESE OF SALFORD.
From Middleforth Hall on Factory Lane at the Diocesan Boundary E by the public footpath to and along the old tram road to and S by Todd Lane North to Todd Lane South to Stone Bridge over the River Lostock and W by the river Lostock to the Diocesan boundary.

WITHIN THE ARCHDIOCESE OF LIVERPOOL.
From Middleforth Hall on Factory Lane E to the Old Tram Road and S along its course to Todd Lane North then S to Todd Lane South to the River Lostock at Stone Bridge then by the River Lostock W to Fowler Lane Bridge then NW by Church Lane to its junction with Coote Lane then SW in a straight line to Naptha Cottage then NW to the junction of Chain House Lane and Newgate Lane then NE to Crooks Farm on Bee Lane then E by this to the railway line and by this N to Middleforth Hall on Factory Lane.",,,,,,,LP,draft,"Parish is served by a Benedictine Community.",,a3/H004_20170415_A3.pdf
5,"2017-04-18 23:21:24",20170415,1,H005,11,"From the point where Beeston Brook crosses Quaker Brook Lane, by  Alum House Brook  SW to  Quaker Brook Lane crossing Hoghton Lane A675 to junction 9 of motorway M65 / M61 then N to junction 30 of motorway M6 / M61 and  W by Cottage Lane and N by Charnley Fold Lane to the point where this turns W and from this point by a beeline to cross London Way A6 at Limekiln Cottage to cross Todd Lane then E and turning N by the old Tram Road to the River Ribble and E by the Preston – South Ribble civil boundaryback to Brockholes Bridge, junction 31 of the motorway M6, and by a beeline to and along Potter Lane, crossing Cuerdale Lane, then by Beeston Brook, to the point where it crosses Quaker Brook Lane.",,,,,,,LP,draft,,,a3/H005_20170415_A3.pdf
6,"2017-04-18 23:21:24",20170415,1,H006,3,"From the junction of Roman Road and Stopes Brow, W by Stopes Brow, Rakes Bridge, Fore Street to River Darwen. Then N by River Darwen, to Bolton Road, and N along Bolton Road, then S E (after bent) by Longshaw Lane, Pritchard Street, Lyndhurst Road, Park Lee Road, and S by Roman Road to its junction with Stopes Brow.",,,,,,,LP,draft,,,a3/H006_20170415_A3.pdf
7,"2017-04-18 23:21:24",20170415,1,H007,7,"From Smithies Bridge on the A59 N by the River Ribble N to Skirden Beck to Grunsagill OS782543 N by the Ribble Valley - Craven Civil boundary to Tosside OS770560 N then W to Ravens Castle or Crowd Stones on Great Harlow Fell OS694613 W and S by the Ribble Valley - Lancaster Civil boundary over Hawthorntwaite Fell to the Ribble Valley - Wyre Civil boundary OS575505 SE to the cairn on Fair Snape Fell W by the Civil boundary with Bowland-with-Leagram to Burholme Bridge OS657479 S by the River Hodder to River Ribble N by the Ribble to its confluence with Smithies Brook and to Smithies Bridge on the A59.",,,,,,,LP,draft,,,a3/H007_20170415_A3.pdf
8,"2017-04-18 23:21:24",20170415,1,H008,1,"From the point where Ribble Valley – Blackburn District boundary crosses Lammack Road, S along Lammack Road,  to the bend in Lammack Road near West Leigh Road, and by a beeline to and along Paignton Road, W along Revidge Road and S along Brantfell Road, SW along East Park Road, W along Preston New Road, SW along Crosshill Road and by a bee-line to the junction of Wensley Road and Buncer Lane, then N along Buncer Lane to its junction with Billinge Avenue (both sides in Sacred Heart parish) and SW by a beeline to south end of Lawley Road (both sides in Sacred Heart parish). N by Lawley Road, W by Under Billinge Lane and N following W boundary of Billinge Wood to and along Killiard Lane and Billinge End Road. Then by a beeline N to and along western boundary of Westholme Senior School and Sixth Form (but excluding the schools), continuing N to and E along Ribble Valley - Blackburn District boundary (near, but excluding Arley Farm) to its crossing with Lammack Road.",,,,,,,LP,draft,,,a3/H008_20170415_A3.pdf
9,"2017-04-18 23:21:24",20170415,1,H009,5,"From the Diocesan Boundary E by the M65 Motorway to Bolton Road and NE along Sandy Lane (both sides in the Sacred Heart and St Edward Parish, Darwen) to the River Darwen and along Fore Street, Rakes Bridge and Stopes Brow to Roman Road and S to Davy Field Bridge. From Davy Field Bridge on the M65 at Roman Road to and along Dandy Row to and along Pot House Lane, Holden Fold to the Office public house, southwest by the public footpath, across Ivinson Road between Number 34 and Number 32, past and to the W of St James’ Church to the Punch Bowl public house, by the Chapels and S by Chapels Brow, Quaker Lane, Cotton Hall Street, under the railway and by the public footpath crossing open land and across the river bridge to Charles Street, across the A666 to and by Vale Street and Tockholes Road (both sides in the Sacred Heart and St Edwards parish), then by footpaths to Ryal Fold and the other Tockholes Road, then by the footpath to the bridge over the River Roddlesworth, and then by the diocesan boundary to its crossing with M65 Motorway.",,,,,,,LP,draft,,,a3/H009_20170415_A3.pdf
10,"2017-04-18 23:21:24",20170415,1,H010,11,"From Brockholes Bridge, junction 31 of the motorway M6 E  by the River Ribble and the Preston - South Ribble civil boundary to Spring Wood then S by the Ribble Valley – South Ribble civil boundary to Myerscough Smithy crossing  Whalley Road A59 then by a straight line SE across Salmesbury Aerodrome crossing Preston New Road A677 at  the west end of Higher Barn (presently KFC) by a bee-line S to meet the Ribble Valley – South Ribble civil boundary at Hoolster Hill along which by  Alum House Brook  SW to  Quaker Brook Lane, then by  Beeston Brook NW River Darwen to Carver Bridge NW along Potter Lane  crossing Cuerdale Lane and by a bee-line to Brockholes Bridge junction 31 of M6.",,,,,,,LP,draft,,,a3/H010_20170415_A3.pdf
