row_id,date_time,p_type,dean,pid,p_name,p_loc,p_comm,p_map_date,p_map_a4_file,p_map_gj_file,p_map_gj_cent,p_map_zoom,aml_codes,version,p_status
1,"2017-04-18 23:48:00",LP,H,H001,"English Martyrs",Whalley,,20220722,a4/H001_A4.pdf,geojson/H001.geojson,"-267260.352984646,7137897",12,H001H018H019,1,draft
2,"2017-04-18 23:48:00",LP,H,H002,"Holy Family",Blackburn,,20170507,a4/H002_A4.pdf,geojson/H002.geojson,"-272919.61941756,7120495.",12,H002H006,1,draft
3,"2017-04-18 23:48:00",CP,H,H003,"Holy Souls",Blackburn,,20170729,a4/H003_A4.pdf,geojson/H003.geojson,"-275985.394132258,7128088",13,H003H012,1,draft
4,"2017-04-18 23:48:00",LP,H,H004,"Our Lady and St Gerard Majella","Lostock Hall","Part of this parish lies within Liverpool Archdiocese, but is served from the Diocese of Salford, by a Benedictine community.",20170415,a4/H004_A4.pdf,geojson/H004.geojson,"-300556.957517445,7118756",13,H004,1,draft
5,"2017-04-18 23:48:00",LP,H,H005,"Our Lady and St Patrick",Walton-le-Dale,,20170415,a4/H005_A4.pdf,geojson/H005.geojson,"-294795.882128586,7121792",12,H005H010,1,draft
6,"2017-04-18 23:48:00",LP,H,H006,"Our Lady of Perpetual Succour",Blackburn,,20170415,a4/H006_A4.pdf,geojson/H006.geojson,"-275715.549569306,7118984",13,H002H006,1,draft
7,"2017-04-18 23:48:00",CP,H,H007,"St Hubert","Dunsop Bridge",,20170415,a4/H007_A4.pdf,geojson/H007.geojson,"-273647.148558065,7162043",10,H007H020H021,1,draft
8,"2017-04-18 23:48:00",CP,H,H008,"Sacred Heart",Blackburn,,20170415,a4/H008_A4.pdf,geojson/H008.geojson,"-279591.340010437,7124266",13,H008H013,1,draft
9,"2017-04-18 23:48:00",CP,H,H009,"Sacred Heart and St Edward",Darwen,,20170415,a4/H009_A4.pdf,geojson/H009.geojson,"-277977.591712764,7114635",12,H009H014,1,draft
10,"2017-04-18 23:48:00",LP,H,H010,"St Mary and St John Southworth",Samlesbury,,20170415,a4/H010_A4.pdf,geojson/H010.geojson,"-289064.535744188,7125160",12,H005H010,1,draft
11,"2017-04-18 23:48:00",LP,H,H011,"Ss Peter and Paul",Ribchester,,20170507,a4/H011_A4.pdf,geojson/H011.geojson,"-281909.584966775,7136503",12,H011H017H025,1,draft
12,"2017-04-18 23:48:00",CP,H,H012,"St Alban and the Good Shepherd",Blackburn,,20170415,a4/H012_A4.pdf,geojson/H012.geojson,"-275270.669835549,7124671",13,H003H012,1,draft
13,"2017-04-18 23:48:00",CP,H,H013,"St Anne",Blackburn,,20170415,a4/H013_A4.pdf,geojson/H013.geojson,"-277695.160550411,7122543",13,H008H013,1,draft
14,"2017-04-18 23:48:00",CP,H,H014,"St Joseph",Darwen,,20170415,a4/H014_A4.pdf,geojson/H014.geojson,"-273405.335693752,7111136",12,H009H014,1,draft
15,"2017-04-18 23:48:00",CP,H,H015,"St Mary and St John","Pleasington Priory",,20170507,a4/H015_A4.pdf,geojson/H015.geojson,"-282483.979898308,7120647",12,H015H023H024,1,draft
16,"2017-04-18 23:48:00",LP,H,H016,"St Mary","Bamber Bridge",,20170415,a4/H016_A4.pdf,geojson/H016.geojson,"-295466.73773452,7118333.",13,H016,1,draft
17,"2017-04-18 23:48:00",LP,H,H017,"St Mary",Chipping,,20170415,a4/H017_A4.pdf,geojson/H017.geojson,"-285857.904285841,7149794",11.5,H011H017H025,1,draft
18,"2017-04-18 23:48:00",LP,H,H018,"St Mary",Langho,,20170729,a4/H018_A4.pdf,geojson/H018.geojson,"-274168.616608652,7133997",12,H001H018H019,1,draft
19,"2017-04-18 23:48:00",LP,H,H019,"St Mary",Osbaldeston,,20170415,a4/H019_A4.pdf,geojson/H019.geojson,"-283204.349050952,7129283",12,H001H018H019,1,draft
20,"2017-04-18 23:48:00",CP,H,H020,"St Mary",Sabden,,20170415,a4/H020_A4.pdf,geojson/H020.geojson,"-258579.35787197,7139339.",12,H007H020H021,1,draft
21,"2017-04-18 23:48:00",CP,H,H021,"St Michael and St John",Clitheroe,,20170415,a4/H021_A4.pdf,geojson/H021.geojson,"-261424.110348552,7146399",11.5,H007H020H021,1,draft
22,"2017-04-18 23:48:00",LP,H,H022,"St Peter and St Joseph",Stonyhurst,,20170415,a4/H022_A4.pdf,geojson/H022.geojson,"-276658.2408614,7141921.3",12,H022,1,draft
23,"2017-04-18 23:48:00",CP,H,H023,"St Peter in Chains",Blackburn,,20170415,a4/H023_A4.pdf,geojson/H023.geojson,"-278161.617665455,7120936",13,H015H023H024,1,draft
24,"2017-04-18 23:48:00",CP,H,H024,"St John Vianney",Blackburn,,20170415,a4/H024_A4.pdf,geojson/H024.geojson,"-278830.656928776,7117785",13,H015H023H024,1,draft
25,"2017-04-18 23:48:00",LP,H,H025,"St Wilfrid",Longridge,,20170415,a4/H025_A4.pdf,geojson/H025.geojson,"-286779.399157644,7141721",12,H011H017H025,1,draft
26,"2017-04-18 23:48:00",AA,H,H026,"Sacred Heart and St Anne",,,20170415,a4/H008H013_a4.pdf,geojson/H026.geojson,"-279193.911543541,7123944",11,H008H013,1,draft
27,"2017-04-18 23:48:00",AA,H,H027,"St Alban and Holy Souls",,"St Alban parish includes Good Shepherd Church",20170729,a4/H003H012_a4.pdf,geojson/H027.geojson,"-275740.856220189,7126920",11,H003H012,1,draft
28,"2017-04-18 23:48:00",PA,H,H028,"Holy Family and Our Lady of Perpetual Succour",,,20170507,a4/H002H006_a4.pdf,geojson/H028.geojson,"-273334.90930422,7120240.",11,H002H006,1,draft
29,"2017-04-18 23:48:00",AA,H,H029,"St Peter, St John Vianney and Ss Mary and John",,"Ss Mary and John parish includes St Paul chapel of ease",20170507,a4/H015H023H024_a4.pdf,geojson/H029.geojson,"-280817.107667212,7119837",11,H015H023H024,1,draft
30,"2017-04-18 23:48:00",AA,H,H030,"Sacred Heart and St Edward with St Joseph, Darwen",,,20170415,a4/H009H014_a4.pdf,geojson/H030.geojson,"-274917.374919277,7112310",11,H009H014,1,draft
31,"2017-04-18 23:48:00",PA,H,H031,"St Wilfrid, Ss Peter and Paul and St Mary, Chipping",,,20170507,a4/H025H011H017_a4.pdf,geojson/H031.geojson,"-285526.657274263,7145554",11,H011H017H025,1,draft
32,"2017-04-18 23:48:00",AA,H,H032,"Our Lady of the Valley and St Hubert",,,20170415,a4/H007H020H021_a4.pdf,geojson/H032.geojson,"-271214.976663411,7158752",10,H007H020H021,1,draft
33,"2017-04-18 23:48:00",PA,H,H033,"Our Lady and St Patrick and St Mary and St John Southworth",,,20170415,a4/H005H010_a4.pdf,geojson/H033.geojson,"-291594.304033289,7123673",11,H005H010,1,draft
